job_title,similarity_score,location,job_url
Magento Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=1fcd3736901b6d61&vjs=3
Senior PHP Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=e66cda937194da8f&vjs=3
Scala Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=a6e71694cda07a66&vjs=3
Audit and Assurance - Digital Assurance - Associate 2,0.0841354,"Hebbal, Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=f3d76150dc350fb5&vjs=3
Audit and Assurance - Digital Assurance - Manager,0.0841354,"Hebbal, Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=236696c7b81df8ab&vjs=3
TC-CS-Cyber Architecture-OT And Engineering-Security Architecture-Manager,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=166f185f60e8c7f3&vjs=3
System Administrator 1-IT,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
Senior Linux Administrator,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=6d94563977dff4ef&vjs=3
Business Execution Associate,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=5444617f49201790&vjs=3
IDMC Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=a3163a3115bc4cf9&vjs=3
OCI certified DBA Lead-HR-P1,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=ddd575f98c81ef7c&vjs=3
Oracle Cloud Database Performance Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=89a0fd8fe80197d5&vjs=3
Supply Chain Management Tool admin & Data Analyst,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=11f7a1d8a62db739&vjs=3
Key Accounts Manager,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=37edcb47cb8ee904&vjs=3
NRW Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
